index,date,pres,link,exec
194,18650529,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72392,
195,18650529,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72403,
196,18650613,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71914,
197,18650613,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71925,
198,18650617,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71936,
199,18650617,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71947,
200,18650621,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71958,
201,18650623,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71969,
202,18650624,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71980,
203,18650630,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71991,
204,18650713,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72002,
205,18650829,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72013,
206,18651012,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72024,
207,18651028,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72035,
208,18651201,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72046,
209,18660212,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71984,
210,18660326,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71986,
211,18660326,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71985,
212,18660402,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71987,
213,18660530,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71988,
214,18660606,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71989,
215,18660817,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71990,
216,18660820,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71992,
217,18661008,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71993,
218,18661219,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72073,
219,18661226,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72074,
220,18661228,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72075,
221,18670112,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72076,
222,18670129,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72077,
223,18670301,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72078,
224,18670330,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72098,
225,18670903,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72124,
226,18670907,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72125,
227,18671007,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72126,
228,18671026,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72127,
229,18680704,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72270,
230,18680711,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72271,
231,18680718,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72273,
232,18680718,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72272,
233,18680727,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72275,
234,18681012,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72276,
235,18681225,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72360,
236,18690408,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70201,
237,18690514,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70234,
238,18690519,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70245,
239,18690612,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70256,
240,18690713,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70268,
241,18690715,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70279,
242,18691005,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70290,
243,18691120,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70301,
244,18700210,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70180,
245,18700512,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70181,
246,18700524,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70182,
247,18700822,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70183,
248,18701008,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70184,
249,18701012,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70185,
250,18701021,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70186,
251,18710225,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70240,
252,18710324,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70253,
253,18710420,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70254,
254,18710503,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70255,
255,18711012,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70257,
256,18711017,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70258,
257,18711028,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70259,
258,18711103,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70260,
259,18711110,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70261,
260,18711219,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70325,
261,18720511,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70327,
262,18720511,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70326,
263,18720601,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70328,
264,18720904,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70329,
265,18721011,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70330,
266,18721030,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70331,
267,18730221,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70361,
268,18730522,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70364,
269,18730701,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70365,
