index,date,pres,link,exec
167,18650919,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72334,
168,18651009,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72345,
169,18651011,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72357,
170,18651111,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72361,
171,18651124,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72362,
172,18660407,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71994,
173,18660413,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71995,
174,18660501,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71996,
175,18660529,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71997,
176,18660605,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71998,
177,18660618,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=71999,
178,18661026,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72000,
179,18661030,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72001,
180,18661101,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72003,
181,18661102,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72004,
182,18670311,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72128,
183,18670315,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72129,
184,18670620,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72130,
185,18670812,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72131,
186,18670812,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72132,
187,18670817,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72133,
188,18670826,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72136,
189,18670826,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72137,
190,18670904,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72138,
191,18671217,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72277,
192,18671228,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72278,
193,18680212,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72280,
194,18680221,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72281,
195,18680221,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72282,
196,18680328,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72283,
197,18680528,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72284,
198,18680601,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72285,
199,18680603,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72286,
200,18680603,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72287,
201,18680630,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72288,
202,18680713,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72289,
203,18680720,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72274,
204,18680728,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72291,
205,18680912,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72292,
206,18681010,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72293,
207,18681104,AJ,http://www.presidency.ucsb.edu/ws/index.php?pid=72294,
208,18690305,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70312,
209,18690308,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70323,
210,18690309,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70334,
211,18690316,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70345,
212,18690326,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70356,
213,18690331,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70367,
214,18690603,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70379,
215,18690907,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70390,
216,18691009,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70401,
217,18691009,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70412,
218,18691019,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70423,
219,18691224,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70187,
220,18691224,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70188,
221,18700104,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70189,
222,18700129,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70191,
223,18700226,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70192,
224,18700331,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70193,
225,18710331,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70262,
226,18720416,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70332,
227,18720527,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70333,
228,18721011,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70335,
229,18730117,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70362,
230,18730128,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70363,
231,18730314,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70370,
232,18730509,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70371,
233,18730521,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70372,
234,18730805,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70373,
235,18731010,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70374,
236,18740123,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70426,
237,18740309,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70427,
238,18740527,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70428,
239,18740529,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70429,
240,18740831,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70430,
241,18750309,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70463,
242,18750309,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70464,
243,18750325,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70465,
244,18750524,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70466,
245,18750703,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70468,
246,18750727,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70469,
247,18750802,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70470,
248,18750802,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70471,
249,18750821,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70547,
250,18751122,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70472,
251,18751123,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70473,
252,18760520,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70544,
253,18760810,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70546,
